--- Ultron Run Initialized ---
AgentConfig(
  codebase_path=/Users/apple/projects/ultron-ai/test_data/DeepAndroid
  model_key=2.0-flash
  mission=This is an android app decompiled code, mainly focus on the code file that are related to the android app based on the package name, find all the exploitable vulnerabilities, write the poc code/poc commands correctly
  verification_target=None
  log_file_path=agent_runs/ultron_run_20250611_101952.log
  verbose=False
)

--- System Instruction ---
You are ULTRON, an expert security analyst with a comprehensive toolbox for both static and dynamic analysis.


## WORKFLOW: STATIC ANALYSIS & PoC GENERATION (STATIC MODE)

Your primary goal is to analyze the codebase and produce a high-quality, executable Proof of Concept. You should NOT attempt to build, deploy, or run the application yourself.

**1. INVESTIGATE**: Use static analysis tools (`read_file_content`, `list_functions`, `find_taint_sources_and_sinks`) to find a potential vulnerability.
**2. HYPOTHESIZE**: Form a precise vulnerability hypothesis.
**3. CONSTRUCT PoC**: Write a complete, executable Proof of Concept (e.g., a `curl` command or a Python script) that an external user could run to exploit the vulnerability. Use the `write_to_file` tool to save this PoC.
**4. CONCLUDE**: Once you have a high-confidence PoC script, your mission is complete. Write the final report, including the PoC, and clearly state that it has not been dynamically verified.


**PROJECT STRUCTURE**:
```
DeepAndroid/
└── poc.sh
├── resources/
  └── AndroidManifest.xml
  ├── res/
    ├── values-xhdpi/
      └── drawables.xml
    ├── values-v28/
      ├── dimens.xml
      └── styles.xml
    ├── mipmap-mdpi/
    ├── values-v26/
      └── styles.xml
    ├── anim/
      ├── abc_fade_in.xml
      ├── abc_fade_out.xml
      ├── abc_grow_fade_in_from_bottom.xml
      ├── abc_popup_enter.xml
      ├── abc_popup_exit.xml
      ├── abc_shrink_fade_out_from_bottom.xml
      ├── abc_slide_in_bottom.xml
      └── abc_slide_in_top.xml
      ├── ... (+36 more relevant files)
    ├── values-w320dp-land/
      └── dimens.xml
    ├── values-ro/
      ├── plurals.xml
      └── strings.xml
    ├── values-te/
      ├── plurals.xml
      └── strings.xml
    ├── values-w360dp-port/
      └── dimens.xml
    ├── values-ru/
      ├── plurals.xml
      └── strings.xml
    ├── values-tl/
      ├── plurals.xml
      └── strings.xml
    ├── values-zh-rTW/
      ├── plurals.xml
      └── strings.xml
    ├── mipmap-hdpi/
    ├── layout-watch/
      ├── abc_alert_dialog_button_bar_material.xml
      └── abc_alert_dialog_title_material.xml
    ├── values-it/
      ├── plurals.xml
      └── strings.xml
    ├── values-ca/
      ├── plurals.xml
      └── strings.xml
    ├── values-is/
      ├── plurals.xml
      └── strings.xml
    ├── values-cs/
      ├── plurals.xml
      └── strings.xml
    ├── layout-land/
      ├── material_clock_period_toggle_land.xml
      ├── material_timepicker.xml
      └── mtrl_picker_header_dialog.xml
    ├── interpolator/
      ├── btn_checkbox_checked_mtrl_animation_interpolator_0.xml
      ├── btn_checkbox_checked_mtrl_animation_interpolator_1.xml
      ├── btn_checkbox_unchecked_mtrl_animation_interpolator_0.xml
      ├── btn_checkbox_unchecked_mtrl_animation_interpolator_1.xml
      ├── btn_radio_to_off_mtrl_animation_interpolator_0.xml
      ├── btn_radio_to_on_mtrl_animation_interpolator_0.xml
      ├── fast_out_slow_in.xml
      └── m3_sys_motion_easing_emphasized.xml
      ├── ... (+10 more relevant files)
    ├── values-zh-rCN/
      ├── plurals.xml
      └── strings.xml
    ├── drawable/
      ├── _avd_hide_password__0_res_0x7f070000.xml
      ├── _avd_hide_password__1_res_0x7f070001.xml
      ├── _avd_hide_password__2_res_0x7f070002.xml
      ├── _avd_show_password__0_res_0x7f070003.xml
      ├── _avd_show_password__1_res_0x7f070004.xml
      ├── _avd_show_password__2_res_0x7f070005.xml
      ├── _ic_launcher_foreground__0_res_0x7f070006.xml
      └── _m3_avd_hide_password__0_res_0x7f070007.xml
      ├── ... (+174 more relevant files)
    ├── mipmap-xxxhdpi/
    ├── drawable-ldrtl-xxxhdpi/
    ├── values-in/
      ├── plurals.xml
      └── strings.xml
    ├── values-ja/
      ├── plurals.xml
      └── strings.xml
    ├── values-el/
      ├── plurals.xml
      └── strings.xml
    ├── values-lv/
      ├── plurals.xml
      └── strings.xml
    ├── values-watch/
      ├── drawables.xml
      └── styles.xml
    ├── values-da/
      ├── plurals.xml
      └── strings.xml
    ├── values-mr/
      ├── plurals.xml
      └── strings.xml
    ├── values-kk/
      ├── plurals.xml
      └── strings.xml
    ├── values-ky/
      ├── plurals.xml
      └── strings.xml
    ├── values-gu/
      ├── plurals.xml
      └── strings.xml
    ├── drawable-watch/
      └── abc_dialog_material_background.xml
    ├── values-ldrtl/
      └── drawables.xml
    ├── values-en-rCA/
      └── strings.xml
    ├── values-mn/
      ├── plurals.xml
      └── strings.xml
    ├── layout/
      ├── abc_action_bar_title_item.xml
      ├── abc_action_bar_up_container.xml
      ├── abc_action_menu_item_layout.xml
      ├── abc_action_menu_layout.xml
      ├── abc_action_mode_bar.xml
      ├── abc_action_mode_close_item_material.xml
      ├── abc_activity_chooser_view.xml
      └── abc_activity_chooser_view_list_item.xml
      ├── ... (+107 more relevant files)
    ├── mipmap-xxhdpi/
    ├── values-en-rIN/
      └── strings.xml
    ├── values-ms/
      ├── plurals.xml
      └── strings.xml
    ├── values-zh-rHK/
      ├── plurals.xml
      └── strings.xml
    ├── color/
      ├── abc_background_cache_hint_selector_material_dark.xml
      ├── abc_background_cache_hint_selector_material_light.xml
      ├── abc_btn_colored_borderless_text_material.xml
      ├── abc_btn_colored_text_material.xml
      ├── abc_color_highlight_material.xml
      ├── abc_hint_foreground_material_dark.xml
      ├── abc_hint_foreground_material_light.xml
      └── abc_primary_text_disable_only_material_dark.xml
      ├── ... (+184 more relevant files)
    ├── values-km/
      ├── plurals.xml
      └── strings.xml
    ├── values-h550dp-port/
      └── dimens.xml
    ├── values-pt-rBR/
      ├── plurals.xml
      └── strings.xml
    ├── values-hy/
      ├── plurals.xml
      └── strings.xml
    ├── values-ldrtl-xxxhdpi/
      └── drawables.xml
    ├── values-am/
      ├── plurals.xml
      └── strings.xml
    ├── values-h480dp-land/
      └── dimens.xml
    ├── values-night/
      ├── colors.xml
      └── styles.xml
    ├── values-be/
      ├── plurals.xml
      └── strings.xml
    ├── values-land/
      ├── dimens.xml
      ├── integers.xml
      └── styles.xml
    ├── values-sw600dp/
      ├── dimens.xml
      ├── integers.xml
      └── styles.xml
    ├── color-night/
      ├── material_timepicker_button_stroke.xml
      ├── material_timepicker_clockface.xml
      └── material_timepicker_modebutton_tint.xml
    ├── values/
      ├── attrs.xml
      ├── bools.xml
      ├── colors.xml
      ├── dimens.xml
      ├── drawables.xml
      ├── integers.xml
      ├── plurals.xml
      └── public.xml
      ├── ... (+2 more relevant files)
    ├── values-uz/
      ├── plurals.xml
      └── strings.xml
    ├── values-fr-rCA/
      ├── plurals.xml
      └── strings.xml
    ├── values-pl/
      ├── plurals.xml
      └── strings.xml
    ├── values-vi/
      ├── plurals.xml
      └── strings.xml
    ├── values-v34/
      └── colors.xml
    ├── drawable-ldrtl-xxhdpi/
    ├── values-sq/
      ├── plurals.xml
      └── strings.xml
    ├── values-xxhdpi/
      └── drawables.xml
    ├── values-sv/
      ├── plurals.xml
      └── strings.xml
    ├── animator/
      ├── design_appbar_state_list_animator.xml
      ├── design_fab_hide_motion_spec.xml
      ├── design_fab_show_motion_spec.xml
      ├── fragment_close_enter.xml
      ├── fragment_close_exit.xml
      ├── fragment_fade_enter.xml
      ├── fragment_fade_exit.xml
      └── fragment_open_enter.xml
      ├── ... (+26 more relevant files)
    ├── values-sl/
      ├── plurals.xml
      └── strings.xml
    ├── values-sk/
      ├── plurals.xml
      └── strings.xml
    ├── values-ur/
      ├── plurals.xml
      └── strings.xml
    ├── drawable-xhdpi/
    ├── values-sw/
      ├── plurals.xml
      └── strings.xml
    ├── values-pt-rPT/
      ├── plurals.xml
      └── strings.xml
    ├── color-v31/
      ├── m3_dynamic_dark_default_color_primary_text.xml
      ├── m3_dynamic_dark_default_color_secondary_text.xml
      ├── m3_dynamic_dark_highlighted_text.xml
      ├── m3_dynamic_dark_hint_foreground.xml
      ├── m3_dynamic_dark_primary_text_disable_only.xml
      ├── m3_dynamic_default_color_primary_text.xml
      ├── m3_dynamic_default_color_secondary_text.xml
      └── m3_dynamic_highlighted_text.xml
      ├── ... (+24 more relevant files)
    ├── drawable-xxhdpi/
    ├── xml/
      ├── backup_rules.xml
      └── data_extraction_rules.xml
    ├── values-tr/
      ├── plurals.xml
      └── strings.xml
    ├── values-hdpi/
      ├── drawables.xml
      └── styles.xml
    ├── drawable-hdpi/
    ├── values-v25/
      └── styles.xml
    ├── values-h720dp/
      └── dimens.xml
    ├── values-ldrtl-xxhdpi/
      └── drawables.xml
    ├── values-ldpi/
      └── drawables.xml
    ├── values-ta/
      ├── plurals.xml
      └── strings.xml
    ├── drawable-ldpi/
    ├── values-th/
      ├── plurals.xml
      └── strings.xml
    ├── values-xxxhdpi/
      └── drawables.xml
    ├── values-fa/
      ├── plurals.xml
      └── strings.xml
    ├── values-lt/
      ├── plurals.xml
      └── strings.xml
